File,codigo_reh-web_1.100.0.25343.txt,vscode_reh-web_1.106.3.txt,vscode_reh-web_1.107.0-exploration.txt,vscode_reh-web_1.107.0-insider.txt,vscodium_reh-web_1.106.37943.txt
LICENSE,Y,Y,Y,Y,
bin/code-server,,Y,,,
bin/code-server-exploration,,,Y,,
bin/code-server-insiders,,,,Y,
bin/code-server-oss,Y,,,,
bin/codium-server,,,,,Y
bin/remote-cli/code,,Y,,,
bin/remote-cli/code-exploration,,,Y,,
bin/remote-cli/code-insiders,,,,Y,
bin/remote-cli/code-oss,Y,,,,
bin/remote-cli/codium,,,,,Y
extensions/css-language-features/server/dist/node/533.cssServerMain.js,Y,,,Y,
extensions/css-language-features/server/dist/node/85.cssServerMain.js,,Y,Y,,Y
extensions/html-language-features/server/dist/node/421.htmlServerMain.js,,Y,Y,,Y
extensions/html-language-features/server/dist/node/573.htmlServerMain.js,Y,,,Y,
extensions/json-language-features/server/dist/node/774.jsonServerMain.js,,Y,Y,,Y
extensions/json-language-features/server/dist/node/990.jsonServerMain.js,Y,,,Y,
extensions/microsoft-authentication/dist/libmsalruntime.so,Y,,,Y,
extensions/microsoft-authentication/dist/msal-node-runtime.node,Y,,,Y,
extensions/ms-vscode.js-debug/src/win32-app-container-tokens.win32-arm64-msvc-4ZJZ3U55.node,Y,Y,Y,Y,
extensions/ms-vscode.js-debug/src/win32-app-container-tokens.win32-x64-msvc-VCQE7GJP.node,Y,Y,Y,Y,
extensions/theme-defaults/themes/dark-colorblind.json,Y,,,,
extensions/theme-defaults/themes/light-colorblind.json,Y,,,,
node_modules/@vscode/vsce-sign/bin/vsce-sign,,Y,Y,Y,
node_modules/@vscode/vsce-sign/package.json,,Y,Y,Y,
node_modules/@vscode/vsce-sign/src/main.d.ts,,Y,Y,Y,
node_modules/@vscode/vsce-sign/src/main.js,,Y,Y,Y,
node_modules/tas-client-umd/LICENSE,,Y,,,Y
node_modules/tas-client-umd/lib/tas-client-umd.js,,Y,,,Y
node_modules/tas-client-umd/package.json,,Y,,,Y
node_modules/tas-client/LICENSE.txt,Y,,Y,Y,
node_modules/tas-client/dist/tas-client.min.js,Y,,Y,Y,
node_modules/tas-client/package.json,Y,,Y,Y,
node_modules/tslib/CopyrightNotice.txt,,,,,Y
node_modules/tslib/LICENSE.txt,,,,,Y
node_modules/tslib/SECURITY.md,,,,,Y
node_modules/tslib/modules/index.js,,,,,Y
node_modules/tslib/modules/package.json,,,,,Y
node_modules/tslib/package.json,,,,,Y
node_modules/tslib/tslib.es6.html,,,,,Y
node_modules/tslib/tslib.es6.js,,,,,Y
node_modules/tslib/tslib.es6.mjs,,,,,Y
node_modules/tslib/tslib.html,,,,,Y
node_modules/tslib/tslib.js,,,,,Y
node_modules/vscode-regexp-languagedetection/dist/index.js,,Y,Y,Y,
node_modules/vscode-regexp-languagedetection/package.json,,Y,Y,Y,
node_modules/vsda/build/Release/vsda.node,,Y,Y,Y,
node_modules/vsda/index.d.ts,,Y,Y,Y,
node_modules/vsda/index.js,,Y,Y,Y,
node_modules/vsda/package.json,,Y,Y,Y,
node_modules/vsda/rust/web/package.json,,Y,Y,Y,
node_modules/vsda/rust/web/vsda.d.ts,,Y,Y,Y,
node_modules/vsda/rust/web/vsda.js,,Y,Y,Y,
node_modules/vsda/rust/web/vsda_bg.wasm,,Y,Y,Y,
node_modules/vsda/rust/web/vsda_bg.wasm.d.ts,,Y,Y,Y,
out/vs/workbench/contrib/welcomeGettingStarted/common/media/dark-colorblind.png,Y,,,,
out/vs/workbench/contrib/welcomeGettingStarted/common/media/light-colorblind.png,Y,,,,
