File,codigo_reh_1.100.0.26034.txt,vscode_reh_1.107.0-exploration.txt,vscode_reh_1.108.2.txt,vscode_reh_1.109.0-insider.txt,vscodium_reh_1.108.20787.txt
LICENSE,Y,Y,Y,Y,
bin/code-server,,,Y,,
bin/code-server-exploration,,Y,,,
bin/code-server-insiders,,,,Y,
bin/code-server-oss,Y,,,,
bin/codium-server,,,,,Y
bin/remote-cli/code,,,Y,,
bin/remote-cli/code-exploration,,Y,,,
bin/remote-cli/code-insiders,,,,Y,
bin/remote-cli/code-oss,Y,,,,
bin/remote-cli/codium,,,,,Y
extensions/css-language-features/server/dist/node/533.cssServerMain.js,Y,,Y,Y,Y
extensions/css-language-features/server/dist/node/85.cssServerMain.js,,Y,,,
extensions/html-language-features/server/dist/node/421.htmlServerMain.js,,Y,,,
extensions/html-language-features/server/dist/node/573.htmlServerMain.js,Y,,Y,Y,Y
extensions/json-language-features/server/dist/node/774.jsonServerMain.js,,Y,,,
extensions/json-language-features/server/dist/node/990.jsonServerMain.js,Y,,Y,Y,Y
extensions/mermaid-chat-features/chat-webview-out/codicon.css,Y,,,Y,
extensions/mermaid-chat-features/chat-webview-out/index-editor.js,Y,,,Y,
extensions/mermaid-chat-features/chat-webview-src/index-editor.ts,Y,,,Y,
extensions/mermaid-chat-features/chat-webview-src/mermaidWebview.ts,Y,,,Y,
extensions/mermaid-chat-features/chat-webview-src/vscodeApi.ts,Y,,,Y,
extensions/microsoft-authentication/dist/libmsalruntime.so,Y,,Y,Y,Y
extensions/microsoft-authentication/dist/msal-node-runtime.node,Y,,Y,Y,Y
extensions/ms-vscode.js-debug/src/win32-app-container-tokens.win32-arm64-msvc-4ZJZ3U55.node,Y,Y,Y,Y,
extensions/ms-vscode.js-debug/src/win32-app-container-tokens.win32-x64-msvc-VCQE7GJP.node,Y,Y,Y,Y,
node_modules/@anthropic-ai/sandbox-runtime/LICENSE,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/cli.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/cli.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/index.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/index.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/generate-seccomp-filter.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/generate-seccomp-filter.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/http-proxy.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/http-proxy.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/linux-sandbox-utils.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/linux-sandbox-utils.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/macos-sandbox-utils.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/macos-sandbox-utils.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/sandbox-config.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/sandbox-config.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/sandbox-manager.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/sandbox-manager.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/sandbox-schemas.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/sandbox-schemas.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/sandbox-utils.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/sandbox-utils.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/sandbox-violation-store.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/sandbox-violation-store.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/socks-proxy.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/sandbox/socks-proxy.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/utils/debug.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/utils/debug.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/utils/platform.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/utils/platform.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/utils/ripgrep.d.ts.map,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/utils/ripgrep.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/vendor/seccomp-src/apply-seccomp.c,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/vendor/seccomp-src/seccomp-unix-block.c,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/vendor/seccomp/arm64/apply-seccomp,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/vendor/seccomp/arm64/unix-block.bpf,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/vendor/seccomp/x64/apply-seccomp,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/dist/vendor/seccomp/x64/unix-block.bpf,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/node_modules/commander/LICENSE,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/node_modules/commander/Readme.md,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/node_modules/commander/esm.mjs,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/node_modules/commander/index.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/node_modules/commander/lib/argument.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/node_modules/commander/lib/command.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/node_modules/commander/lib/error.js,Y,,,,
node_modules/@anthropic-ai/sandbox-runtime/node_modules/commander/lib/help.js,Y,,,,
